Learning Rate,Epochs,Threshold,Accuracy
0.01,500,0.4,0.6482770793700602
0.01,500,0.5,0.7132714899292004
0.01,500,0.6,0.7595952068093118
0.01,1000,0.4,0.6478848379062151
0.01,1000,0.5,0.7091137304124419
0.01,1000,0.6,0.7548686971699778
0.01,1500,0.4,0.647041518758948
0.01,1500,0.5,0.7045048932122615
0.01,1500,0.6,0.7505148169212967
0.1,500,0.4,0.8246876777344133
0.1,500,0.5,0.8260016866382945
0.1,500,0.6,0.827335307615368
0.1,1000,0.4,0.81849026260566
0.1,1000,0.5,0.8204318578516935
0.1,1000,0.6,0.8220596599266509
0.1,1500,0.4,0.8156465119927827
0.1,1500,0.5,0.8174508227264704
0.1,1500,0.6,0.8190001765086588
1.0,500,0.4,0.4185412539959599
1.0,500,0.5,0.41967875424111084
1.0,500,0.6,0.4210123752181843
1.0,1000,0.4,0.8213536252917296
1.0,1000,0.5,0.8215497460236522
1.0,1000,0.6,0.8217458667555747
1.0,1500,0.4,0.8176273313852007
1.0,1500,0.5,0.8177646158975466
1.0,1500,0.6,0.8179215124830845
