C,Penalty,Max_Iter,Warm_Start,Accuracy
0.1,l1,100,True,0.846476691051011
0.1,l1,100,False,0.846476691051011
0.1,l1,500,True,0.846476691051011
0.1,l1,500,False,0.846476691051011
0.1,l1,1000,True,0.846476691051011
0.1,l1,1000,False,0.846476691051011
0.1,l2,100,True,0.8464178548314343
0.1,l2,100,False,0.8464178548314343
0.1,l2,500,True,0.8464178548314343
0.1,l2,500,False,0.8464178548314343
0.1,l2,1000,True,0.8464178548314343
0.1,l2,1000,False,0.8464178548314343
1.0,l1,100,True,0.8464570789778187
1.0,l1,100,False,0.8464570789778187
1.0,l1,500,True,0.8464570789778187
1.0,l1,500,False,0.8464570789778187
1.0,l1,1000,True,0.8464570789778187
1.0,l1,1000,False,0.8464570789778187
1.0,l2,100,True,0.8464570789778187
1.0,l2,100,False,0.8464570789778187
1.0,l2,500,True,0.8464570789778187
1.0,l2,500,False,0.8464570789778187
1.0,l2,1000,True,0.8464570789778187
1.0,l2,1000,False,0.8464570789778187
10.0,l1,100,True,0.8464570789778187
10.0,l1,100,False,0.8464570789778187
10.0,l1,500,True,0.8464570789778187
10.0,l1,500,False,0.8464570789778187
10.0,l1,1000,True,0.8464570789778187
10.0,l1,1000,False,0.8464570789778187
10.0,l2,100,True,0.8464570789778187
10.0,l2,100,False,0.8464570789778187
10.0,l2,500,True,0.8464570789778187
10.0,l2,500,False,0.8464570789778187
10.0,l2,1000,True,0.8464570789778187
10.0,l2,1000,False,0.8464570789778187
